time,x,y,z
1.593,-0.01417,0.01319,0.97869
1.603,-0.01417,0.01319,0.97869
1.611,-0.00855,0.01515,0.97307
1.620,-0.00855,0.01515,0.97307
1.631,-0.00855,0.01515,0.97307
1.641,-0.00855,0.01515,0.97307
1.650,-0.00855,0.01515,0.97307
1.660,-0.00855,0.01515,0.97307
1.675,-0.00635,0.01197,0.97356
1.698,-0.00635,0.01197,0.97356
1.701,-0.00635,0.01197,0.97356
1.703,-0.00635,0.01197,0.97356
1.711,-0.00635,0.01197,0.97356
1.720,-0.00635,0.01197,0.97356
1.734,-0.00635,0.01197,0.97356
1.743,-0.01295,0.01515,0.97625
1.750,-0.01295,0.01515,0.97625
1.761,-0.01295,0.01515,0.97625
1.778,-0.01295,0.01515,0.97625
1.781,-0.01295,0.01515,0.97625
1.795,-0.01295,0.01515,0.97625
1.809,-0.01173,0.01466,0.97478
1.813,-0.01173,0.01466,0.97478
1.828,-0.01173,0.01466,0.97478
1.831,-0.01173,0.01466,0.97478
1.844,-0.01173,0.01466,0.97478
1.859,-0.01173,0.01466,0.97478
1.861,-0.01173,0.01466,0.97478
1.883,-0.00977,0.01490,0.97283
1.886,-0.00977,0.01490,0.97283
1.891,-0.00977,0.01490,0.97283
1.908,-0.00977,0.01490,0.97283
1.911,-0.00977,0.01490,0.97283
1.925,-0.00977,0.01490,0.97283
1.934,-0.00733,0.01686,0.97258
1.941,-0.00733,0.01686,0.97258
1.950,-0.00733,0.01686,0.97258
1.962,-0.00733,0.01686,0.97258
1.978,-0.00733,0.01686,0.97258
1.981,-0.00733,0.01686,0.97258
1.991,-0.00733,0.01686,0.97258
2.005,-0.00586,0.01441,0.97869
2.017,-0.00586,0.01441,0.97869
2.023,-0.00586,0.01441,0.97869
2.031,-0.00586,0.01441,0.97869
2.040,-0.00586,0.01441,0.97869
2.054,-0.00586,0.01441,0.97869
2.061,-0.01051,0.01588,0.97356
2.072,-0.01051,0.01588,0.97356
2.098,-0.01051,0.01588,0.97356
2.102,-0.01051,0.01588,0.97356
2.106,-0.01051,0.01588,0.97356
2.112,-0.01051,0.01588,0.97356
2.123,-0.01051,0.01588,0.97356
2.142,-0.01124,0.01759,0.97478
2.146,-0.01124,0.01759,0.97478
2.154,-0.01124,0.01759,0.97478
2.170,-0.01124,0.01759,0.97478
2.172,-0.01124,0.01759,0.97478
2.181,-0.01124,0.01759,0.97478
2.189,-0.01124,0.01759,0.97478
2.203,-0.01026,0.00953,0.97820
2.210,-0.01026,0.00953,0.97820
2.220,-0.01026,0.00953,0.97820
2.230,-0.01026,0.00953,0.97820
2.239,-0.01026,0.00953,0.97820
2.250,-0.01026,0.00953,0.97820
2.263,-0.00953,0.01124,0.97258
2.270,-0.00953,0.01124,0.97258
2.290,-0.00953,0.01124,0.97258
2.293,-0.00953,0.01124,0.97258
2.312,-0.00953,0.01124,0.97258
2.314,-0.00953,0.01124,0.97258
2.321,-0.00953,0.01124,0.97258
2.334,-0.01026,0.01441,0.97820
2.341,-0.01026,0.01441,0.97820
2.354,-0.01026,0.01441,0.97820
2.361,-0.01026,0.01441,0.97820
2.371,-0.01026,0.01441,0.97820
2.394,-0.01026,0.01441,0.97820
2.397,-0.01173,0.01319,0.97552
2.400,-0.01173,0.01319,0.97552
2.411,-0.01173,0.01319,0.97552
2.420,-0.01173,0.01319,0.97552
2.434,-0.01173,0.01319,0.97552
